1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,target,n
56,60,22,4,2,92,49,4,7,22,88,92,14,94,20,48,35,60,16,53,25.72675894,20
25,42,84,99,8,30,68,41,62,20,89,32,7,37,54,20,65,56,93,45,31.24830948,20
22,15,31,51,60,39,69,86,94,92,20,46,11,74,16,85,8,28,79,29,30.56310542,20
97,26,15,100,23,47,60,41,50,77,10,36,43,8,11,99,78,26,15,75,28.97058448,20
39,91,3,27,24,57,51,7,42,37,30,88,28,78,83,8,50,50,69,90,29.04376029,20
64,60,35,31,95,95,21,81,69,18,42,73,28,64,44,83,59,3,56,41,24.87509692,20
100,20,79,16,27,43,27,7,87,74,63,7,30,9,12,64,34,3,10,97,25.54714831,20
82,75,59,49,93,92,60,72,67,66,99,50,95,24,72,88,48,46,83,13,36.14934882,20
57,36,13,2,82,13,70,47,79,87,36,35,38,69,22,1,83,56,76,49,34.88642618,20
68,87,56,24,1,31,49,41,19,56,66,13,80,56,92,66,16,95,32,43,35.31420098,20
32,45,2,8,58,12,39,85,58,100,15,53,26,41,87,90,98,27,70,46,29.76910975,20
50,24,26,100,95,32,81,8,94,90,45,47,38,82,46,54,93,73,75,67,29.04159224,20
63,30,63,59,71,45,40,16,29,34,96,26,29,84,3,75,63,55,38,88,30.18960485,20
21,99,50,16,62,46,52,24,53,93,90,13,82,6,11,70,78,55,90,100,30.05743008,20
17,13,24,94,70,2,11,61,19,56,61,1,78,28,17,94,50,4,13,96,36.12146822,20
86,97,85,22,93,6,57,64,56,50,95,43,71,45,83,8,93,54,91,61,29.66486495,20
66,21,85,79,73,92,86,2,62,83,50,59,15,14,78,61,57,34,63,68,32.83570395,20
47,7,17,24,44,29,93,82,31,76,54,37,46,56,98,24,10,44,55,59,31.40252194,20
5,72,62,70,91,44,43,19,9,58,36,35,42,24,2,82,3,63,18,52,27.76380947,20
11,41,46,60,27,2,5,25,100,83,81,98,13,88,63,88,24,27,83,84,31.09897201,20
75,85,11,76,88,49,75,23,81,8,45,96,17,51,37,99,54,93,23,31,35.46506867,20
67,35,24,31,64,54,25,24,38,71,34,63,19,87,45,92,96,29,83,94,30.48912009,20
31,68,10,74,57,70,77,52,45,51,45,43,49,84,13,68,58,62,51,71,34.93177825,20
75,17,86,91,73,22,46,59,66,77,45,15,72,87,27,82,28,38,47,18,27.18241252,20
35,57,95,19,81,47,17,2,98,21,17,62,16,43,40,89,87,80,47,33,26.41296616,20
38,41,6,8,47,22,87,95,16,63,42,29,50,98,57,60,39,9,67,71,28.02959143,20
52,95,35,58,40,3,62,57,94,99,92,18,3,100,28,99,34,80,7,41,28.02505599,20
69,80,52,28,68,54,38,68,53,98,70,42,8,11,9,26,53,89,40,3,34.21934884,20
17,15,81,100,11,100,98,94,50,100,37,64,55,70,98,47,25,67,40,64,33.90540922,20
92,62,26,89,20,76,87,52,54,54,67,19,37,95,82,25,38,87,57,4,33.16447898,20
87,30,58,54,94,58,32,99,60,84,77,35,9,54,50,94,44,11,44,30,34.40266058,20
41,46,21,90,15,25,93,33,66,47,88,89,15,43,43,34,37,89,18,37,26.05057543,20
67,17,2,95,38,42,4,20,58,83,77,39,56,86,22,56,91,83,22,36,32.04896839,20
88,29,73,6,87,83,84,64,68,79,8,44,59,38,45,41,76,5,52,43,34.13530333,20
36,34,45,70,27,67,39,67,20,17,50,51,97,97,62,96,80,35,45,42,27.36755498,20
38,91,82,56,54,83,47,96,38,82,92,87,58,45,96,99,95,40,29,87,28.96706013,20
10,62,12,14,44,60,27,33,84,40,81,4,80,76,20,21,50,49,7,16,26.15018482,20
54,82,13,56,66,64,88,70,65,77,42,98,5,94,33,28,53,39,11,39,27.12713111,20
55,23,57,88,53,33,30,50,50,71,99,6,33,30,90,98,5,78,100,83,28.2859381,20
7,25,10,17,23,66,10,54,14,66,4,16,61,16,25,100,32,40,4,49,28.47927318,20
29,67,13,59,26,25,9,68,44,63,100,14,1,2,32,50,39,6,11,22,22.41495815,20
59,79,65,53,18,59,33,25,24,15,67,4,14,37,87,57,72,25,63,80,25.46214056,20
35,42,37,7,63,44,72,57,30,79,27,23,10,66,92,66,23,98,96,95,27.82200209,20
92,98,34,85,78,69,44,58,5,17,12,99,41,41,80,71,29,34,26,72,26.84119828,20
2,61,30,11,71,51,34,19,19,98,89,31,77,80,24,57,37,3,85,59,27.60170883,20
76,14,93,51,20,5,88,83,52,99,98,46,48,18,83,74,46,63,18,32,31.75843612,20
47,7,97,36,89,56,26,67,36,88,99,75,94,89,37,7,21,66,36,28,30.4535308,20
73,2,19,23,36,4,39,32,15,88,84,93,56,85,39,88,32,63,61,37,30.54120064,20
88,85,33,60,46,16,80,85,29,75,21,97,76,78,92,46,12,51,12,47,29.05474199,20
1,90,69,80,72,84,83,64,7,29,69,16,32,91,78,28,96,70,18,94,34.17090606,20
15,49,81,11,88,45,46,80,88,29,38,68,14,66,73,12,90,42,29,48,31.24220856,20
14,27,79,73,50,68,26,45,24,37,69,82,73,34,92,28,20,39,63,42,28.82934338,20
49,66,87,76,17,36,46,83,61,99,6,69,19,32,25,18,13,15,69,17,32.74355332,20
41,66,51,50,100,64,99,81,81,99,35,20,78,58,2,5,50,38,47,71,23.61086369,20
82,89,42,98,13,95,97,63,91,80,33,81,52,9,39,36,97,43,26,55,22.46008749,20
86,28,32,62,47,16,53,93,36,94,61,17,15,81,88,2,87,25,88,29,30.10757534,20
39,40,84,94,76,53,5,66,84,36,25,24,48,80,19,83,76,13,7,32,34.5853924,20
74,62,27,68,87,15,1,43,32,15,4,98,98,43,45,92,97,28,16,13,26.0105115,20
37,56,80,7,86,76,58,2,73,81,92,12,48,5,47,54,38,11,54,49,35.36810398,20
16,16,2,19,2,40,29,8,4,90,43,61,90,37,80,70,6,94,5,31,26.91499863,20
57,41,52,17,66,46,70,57,24,65,54,60,91,80,1,23,68,5,86,64,33.2704423,20
64,74,98,30,65,28,23,83,78,56,29,92,82,73,20,74,8,24,9,8,28.47825916,20
2,50,25,54,41,12,59,63,92,12,70,9,40,50,93,47,45,48,62,45,29.83449426,20
54,32,99,74,50,76,56,65,64,58,35,95,37,95,70,42,21,86,86,67,33.20061029,20
18,67,28,42,77,44,43,99,15,22,33,4,67,10,89,13,52,39,24,56,22.77391584,20
98,58,72,65,34,10,70,13,58,18,62,54,77,42,91,53,85,58,80,25,30.02834594,20
35,12,37,96,90,46,76,80,72,34,3,85,87,2,88,64,50,34,40,70,25.42280496,20
87,78,45,92,4,79,92,12,53,24,92,30,56,95,50,37,65,65,75,17,25.87309063,20
69,53,84,15,57,40,15,84,94,34,90,79,86,4,55,61,23,96,5,54,34.61039697,20
39,52,55,14,67,25,86,35,64,19,44,3,79,83,94,92,28,9,87,11,31.62847516,20
63,51,81,76,77,46,94,36,2,67,76,21,47,18,20,44,83,51,86,90,35.97119737,20
19,86,47,27,52,23,49,32,20,58,84,3,58,44,92,82,49,93,36,93,29.77391178,20
67,47,40,58,12,82,63,44,4,81,48,97,72,80,31,79,27,67,85,38,27.49101571,20
84,89,88,68,77,80,47,83,39,55,89,33,94,61,83,13,34,11,35,67,30.39973435,20
86,58,98,5,95,86,49,27,62,40,51,36,91,84,49,1,62,93,81,88,32.96907922,20
38,81,60,26,82,35,12,3,71,10,73,54,69,7,33,93,39,46,62,50,29.64518319,20
39,82,89,57,75,11,15,29,65,96,38,46,53,46,93,83,13,12,20,7,29.71338171,20
67,87,90,62,7,44,87,38,26,27,33,97,70,57,91,30,15,98,32,17,24.43626612,20
44,7,64,25,2,65,36,76,64,18,28,79,5,77,10,55,35,21,9,73,31.0730687,20
22,55,54,39,33,55,92,1,30,12,93,5,51,53,3,89,94,89,58,40,30.68382603,20
69,42,5,92,59,94,88,56,29,54,4,51,48,44,32,91,37,5,20,95,27.39584303,20
23,46,36,88,16,95,36,45,40,70,80,16,20,62,29,57,20,1,54,59,31.51297206,20
42,16,37,46,77,5,92,32,78,4,63,51,9,33,71,19,41,37,94,17,27.97953918,20
47,98,32,41,48,8,4,21,1,64,36,50,79,84,31,17,82,38,56,52,34.06849946,20
60,81,62,24,31,11,83,93,54,82,62,28,43,7,31,24,62,80,80,24,33.12791741,20
53,9,78,54,57,69,41,94,2,66,87,50,97,84,49,74,69,2,32,89,35.24353272,20
74,19,100,78,52,76,1,93,55,70,96,63,81,57,83,95,44,21,77,55,29.75191486,20
13,38,61,40,31,83,31,22,29,73,88,46,4,3,54,91,18,3,7,69,31.98626698,20
80,87,74,39,100,37,86,13,64,4,65,85,71,93,13,8,55,29,75,44,29.57614549,20
2,12,25,56,28,35,51,25,61,67,62,83,26,47,75,1,26,41,17,97,28.59734368,20
43,65,12,15,82,62,23,76,57,75,71,23,65,57,75,83,17,8,42,36,25.51142271,20
20,48,8,10,81,21,22,63,62,36,80,51,92,32,67,71,12,5,93,80,28.20489427,20
52,93,33,87,88,48,44,32,32,61,43,65,96,15,91,81,42,86,36,79,22.83849912,20
98,39,41,54,9,52,14,10,65,28,64,50,81,29,63,32,18,37,84,54,27.03861019,20
48,31,89,30,11,40,34,50,99,52,10,32,81,54,78,14,37,92,88,18,30.85065151,20
12,51,72,31,64,69,62,10,15,100,83,55,89,49,62,83,72,85,50,17,27.6125817,20
77,46,12,68,6,4,80,70,71,41,15,26,94,75,46,68,6,22,86,97,26.76508364,20
94,20,60,38,85,83,19,57,84,67,14,77,88,64,31,96,33,41,63,11,28.61151072,20
71,45,59,82,91,68,78,38,37,73,5,63,25,27,16,19,52,7,79,73,28.33553265,20
91,21,31,22,75,78,53,16,62,88,2,19,4,81,35,39,57,34,4,71,24.29287046,20
62,6,24,1,53,35,65,6,52,26,99,37,75,1,9,44,25,47,22,29,24.10977871,20
14,28,7,28,68,62,78,94,29,47,73,96,99,58,65,63,48,47,96,68,36.66259493,20
36,25,76,74,91,97,89,11,52,23,49,44,71,90,13,59,9,68,57,79,28.31891562,20
5,86,41,44,27,19,38,59,58,70,5,80,85,24,30,52,45,90,96,3,30.39047785,20
94,16,31,18,18,8,47,67,11,53,37,74,24,36,74,27,40,63,4,27,21.97604352,20
29,75,5,83,58,68,62,92,44,64,19,92,95,5,77,87,32,28,78,71,26.92904627,20
76,77,7,21,19,86,93,68,44,14,57,44,87,1,80,69,79,74,86,44,34.11984472,20
27,50,39,1,50,91,85,69,50,88,16,48,93,94,29,41,70,53,93,79,33.37618274,20
96,60,31,84,84,81,88,20,93,82,36,50,59,1,29,38,30,16,95,22,31.92841016,20
97,91,25,38,76,59,61,32,85,96,32,1,18,11,41,90,22,46,58,22,33.2125744,20
11,1,41,70,58,60,30,73,40,18,36,19,93,42,35,97,85,69,60,59,29.55833883,20
22,12,72,35,36,49,88,23,84,48,17,63,55,10,86,95,40,24,90,99,23.94791517,20
65,42,4,99,62,70,61,87,95,12,28,13,61,16,45,92,4,67,29,1,30.14718638,20
73,83,27,35,100,51,53,86,56,27,2,57,62,81,71,80,57,98,36,24,39.53157572,20
8,56,3,46,94,21,53,27,72,84,86,62,82,70,57,14,95,81,52,1,34.41703131,20
60,86,30,46,98,25,66,43,51,77,27,74,41,93,22,37,86,79,1,87,26.63372291,20
96,33,59,74,31,43,12,63,8,17,52,49,36,20,70,20,100,3,67,42,28.95641864,20
79,27,48,99,51,38,58,80,30,24,39,90,59,16,18,58,43,37,68,90,29.17385246,20
10,93,72,17,88,40,59,27,14,8,88,49,87,39,42,48,67,31,57,83,24.47814839,20
35,47,55,23,54,24,93,41,6,50,74,1,29,56,25,19,20,72,13,39,29.79814931,20
77,50,97,56,64,61,64,7,22,30,53,99,86,60,89,100,25,85,86,30,22.18159549,20
87,11,78,35,28,78,66,12,8,52,71,72,86,84,17,60,32,24,52,33,23.3032712,20
9,74,97,97,79,79,24,58,94,96,21,31,27,60,10,46,97,36,21,38,28.62027029,20
46,95,22,86,92,32,40,11,82,55,39,32,23,72,39,33,34,32,71,47,27.42499954,20
29,44,1,81,29,90,14,81,86,100,17,64,37,1,66,50,39,10,95,26,26.51436081,20
31,65,7,64,69,44,47,71,69,56,2,33,39,18,32,15,93,91,13,44,24.86897865,20
15,87,3,1,69,75,59,55,85,2,51,85,12,43,29,83,28,38,88,73,35.4150065,20
58,1,78,76,84,99,22,48,14,80,54,51,50,1,69,76,90,21,62,45,40.28803183,20
59,16,83,74,70,2,76,72,98,94,59,90,12,67,92,33,46,76,19,4,30.48121301,20
44,79,78,51,88,30,57,67,47,35,81,93,80,82,63,10,96,66,59,54,25.66673843,20
66,83,96,10,4,60,97,29,83,96,68,61,39,65,84,33,29,97,45,97,35.80915793,20
86,48,36,67,16,28,72,37,64,32,16,97,82,91,86,60,44,52,37,61,22.33886679,20
6,94,100,72,52,32,6,40,18,22,92,30,7,7,7,8,47,4,49,80,27.03776957,20
1,59,21,54,21,92,95,85,66,52,18,81,70,42,38,95,25,73,15,51,29.16935345,20
9,54,2,4,74,6,91,28,72,83,71,59,85,71,89,12,58,4,20,37,28.15458978,20
6,50,82,60,88,43,26,50,88,84,96,11,77,60,33,49,31,7,40,50,25.97894929,20
32,7,98,64,87,4,34,8,86,55,29,6,87,8,15,100,70,13,57,48,24.9787329,20
61,54,12,56,96,15,10,45,44,91,65,60,19,10,4,93,85,12,12,12,24.44121451,20
38,59,33,68,8,87,86,36,87,94,53,32,7,23,30,60,95,96,14,51,22.95809879,20
8,13,48,46,62,99,72,62,80,67,50,28,4,91,14,84,23,82,20,84,33.77214008,20
90,82,58,75,10,16,6,42,89,74,94,96,31,77,2,50,26,83,45,91,27.64807092,20
6,43,8,67,94,5,55,62,51,49,21,87,46,10,85,54,70,66,21,11,31.86183192,20
45,7,14,20,3,36,93,31,16,37,74,71,41,81,57,57,25,13,21,18,27.09913124,20
26,12,85,76,31,86,11,67,11,31,37,89,43,90,82,14,65,8,94,89,26.53680883,20
76,61,30,1,63,9,36,82,60,24,81,5,24,94,66,63,43,38,48,59,30.3429904,20
48,28,71,44,92,92,80,55,58,69,62,98,84,9,71,92,39,33,1,92,29.10926019,20
90,54,90,22,2,91,54,31,2,90,79,44,40,35,59,3,56,59,45,73,32.96684792,20
8,40,50,17,81,39,40,94,9,18,9,93,80,79,75,16,22,27,86,85,26.50473344,20
16,62,9,25,66,96,65,61,61,24,95,55,72,22,79,50,5,26,89,55,26.27077578,20
41,17,64,5,14,20,55,81,45,75,19,29,21,15,47,74,72,22,100,61,26.8469818,20
51,20,83,5,68,50,27,94,96,28,86,86,86,59,32,51,28,41,55,78,28.64328795,20
63,75,50,81,43,59,15,40,91,16,87,23,32,40,60,63,15,56,1,32,30.53292472,20
84,42,30,53,65,34,38,43,46,13,28,23,76,45,25,42,74,39,10,49,26.15807177,20
48,23,80,21,100,17,68,44,81,90,89,72,86,44,5,85,74,84,94,64,31.98885298,20
50,50,58,13,6,29,91,80,91,68,31,21,95,1,94,76,19,13,3,100,24.08220626,20
37,70,43,73,30,86,97,10,95,50,9,91,4,28,73,93,25,58,93,76,33.53279199,20
62,91,70,19,2,100,76,41,17,81,12,27,89,70,57,18,83,23,90,98,31.6891022,20
39,59,83,87,61,94,53,67,10,87,19,91,87,48,21,50,24,11,63,5,31.00708253,20
47,70,65,88,42,56,65,80,85,38,73,44,22,52,32,81,4,97,29,34,31.07056896,20
72,67,45,40,14,44,12,91,30,55,20,78,3,1,44,37,1,35,96,21,26.12793699,20
67,80,33,45,86,81,75,14,84,96,16,75,75,79,87,13,85,96,19,89,34.32019209,20
42,68,46,80,49,88,68,53,17,26,16,64,47,42,17,22,3,55,79,6,33.25475931,20
97,23,68,97,91,78,48,68,72,24,57,34,23,72,37,57,88,93,70,26,24.24729419,20
15,21,40,1,63,19,96,55,74,51,71,84,57,55,42,3,81,95,62,15,29.04739755,20
75,91,50,7,29,11,98,35,11,45,95,80,84,30,30,35,9,44,71,5,30.33498634,20
36,62,21,9,90,42,65,15,80,68,49,80,5,41,10,56,61,21,73,53,34.44602437,20
67,59,30,18,77,77,75,27,100,96,3,29,13,99,62,4,80,51,74,46,30.19723291,20
41,18,73,53,35,29,97,42,35,33,92,1,62,86,23,18,50,85,14,73,27.41093913,20
21,83,5,25,72,2,86,79,1,78,40,51,81,27,32,65,66,6,81,85,25.93212778,20
36,24,69,71,19,72,33,14,78,88,65,80,76,52,70,48,98,48,70,96,32.2186411,20
18,32,93,67,69,39,70,31,65,2,30,17,60,28,99,5,14,96,21,40,26.83829256,20
92,86,57,95,89,64,66,87,36,80,26,90,22,85,66,72,56,34,62,29,34.3900888,20
20,28,85,69,43,95,75,74,23,70,74,7,35,97,47,66,15,64,31,51,32.30733164,20
50,57,80,13,32,47,18,64,35,87,4,41,23,27,8,29,61,95,31,34,29.51560172,20
60,75,67,38,27,31,46,36,27,90,44,29,62,7,31,97,93,69,25,63,29.20895305,20
3,32,4,23,89,90,1,88,79,84,75,88,23,4,51,100,91,51,89,21,32.03519148,20
93,27,16,80,49,43,1,12,18,62,62,86,25,2,6,90,52,45,81,98,25.84150716,20
21,55,42,68,4,3,38,91,64,89,28,25,69,73,30,57,82,16,87,87,26.94203851,20
45,7,12,62,25,2,48,50,31,69,75,76,47,49,49,47,55,94,92,90,29.65521143,20
80,9,84,71,35,32,95,38,96,79,6,100,93,45,18,93,92,81,54,17,28.39551093,20
78,84,46,64,14,12,88,30,64,77,27,58,49,28,27,15,65,75,58,98,24.53341125,20
24,34,94,86,30,91,59,48,100,31,21,98,39,10,50,9,58,2,98,18,31.43838342,20
76,6,66,85,44,50,82,49,74,98,32,97,44,24,85,17,90,41,43,90,30.57612055,20
75,30,19,61,44,71,30,16,50,4,3,14,15,41,31,89,25,48,58,8,29.30677786,20
43,29,38,96,20,55,88,19,98,67,59,4,58,87,37,52,53,38,51,41,30.86516788,20
49,78,11,46,75,18,4,24,16,13,25,51,18,19,35,38,4,84,76,67,31.63368844,20
52,44,66,80,2,67,6,85,49,20,48,90,90,91,52,21,60,24,91,34,29.49945221,20
44,31,79,33,65,99,33,22,64,79,63,72,78,40,57,97,99,86,89,100,28.67558229,20
44,75,8,1,44,47,45,74,65,72,85,74,81,58,3,61,8,56,33,58,29.51114662,20
88,95,46,14,19,53,92,55,63,82,93,60,98,65,32,96,74,58,95,32,31.84526525,20
72,47,9,58,29,10,69,15,35,36,55,4,100,29,8,9,89,74,86,13,28.94055893,20
42,26,68,61,69,28,82,74,74,87,9,23,74,65,37,83,25,91,60,32,29.22096487,20
41,60,77,88,46,14,39,59,33,83,7,8,38,38,46,82,79,45,22,87,24.79483148,20
78,1,17,30,32,80,7,98,13,40,63,97,59,14,32,80,44,15,85,51,28.57638743,20
70,60,81,99,37,52,66,61,47,65,56,95,85,59,83,96,63,12,88,60,25.43442114,20
13,74,46,79,31,85,41,70,8,94,13,51,4,52,90,52,47,13,38,54,21.97569877,20
16,93,34,84,90,91,64,92,93,6,72,30,22,78,94,52,86,51,49,77,32.18410116,20
91,53,17,81,56,64,89,1,61,80,25,71,54,2,96,77,24,42,65,58,30.88075421,20
8,13,87,52,7,99,9,46,23,23,81,13,87,85,66,59,77,72,31,49,25.87760141,20
20,52,51,88,38,67,87,90,100,44,86,74,29,75,88,28,75,36,61,92,33.50806465,20
71,48,57,76,8,68,58,2,40,99,44,2,7,96,8,92,35,34,14,28,26.11089032,20
7,42,18,91,49,32,7,50,71,42,92,79,82,63,72,16,45,70,98,56,26.66801982,20
73,86,61,97,90,83,37,7,100,62,55,94,10,41,96,14,62,53,22,83,31.85369448,20
84,77,76,98,21,31,43,39,57,79,4,73,42,76,70,88,73,17,48,54,31.01342956,20
39,18,59,93,25,79,80,55,62,99,39,77,13,56,99,74,76,99,79,80,27.07344904,20
84,68,36,92,33,30,67,34,38,23,86,75,92,69,93,14,61,46,28,58,32.21109234,20
8,66,28,55,76,34,57,99,1,92,75,93,85,72,97,28,35,36,91,26,30.01388602,20
36,20,7,79,61,30,42,77,61,38,6,85,2,19,60,19,21,53,79,65,34.82277331,20
15,97,25,83,67,71,25,94,44,69,37,90,13,69,95,90,47,89,28,43,30.58552423,20
26,24,54,11,94,2,23,41,26,63,5,83,80,26,58,58,5,15,3,17,28.49692516,20
16,24,29,33,8,57,60,42,78,26,60,71,56,1,32,69,89,43,10,74,27.96703921,20
63,87,100,47,91,44,26,97,80,45,90,6,12,44,17,25,52,19,83,32,26.78122872,20
36,35,30,53,68,26,84,98,33,10,12,51,59,10,64,79,86,45,22,83,31.85319599,20
86,52,67,27,41,98,77,81,90,56,98,50,81,47,69,68,18,27,65,40,30.7000853,20
24,75,40,68,39,14,21,61,76,6,23,77,60,50,15,68,71,76,81,87,28.89775659,20
24,18,20,1,94,50,80,70,47,33,52,86,89,35,88,73,49,31,64,36,34.70917919,20
69,66,45,21,71,19,30,73,87,97,78,21,100,26,93,25,78,32,1,5,34.01358377,20
98,1,95,77,13,59,40,92,51,3,87,52,14,54,38,87,11,69,3,39,22.87779457,20
56,95,99,11,44,4,77,6,9,27,75,23,51,16,10,91,94,5,38,33,23.87939707,20
39,45,71,23,52,85,62,17,34,44,91,32,43,86,28,25,71,32,6,68,26.543359,20
